ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,141.68 kWh,17300,0.00729%,141.68,17300,0.00729,1
20110306_lr_RL_1.2,106.43 kWh,12416,0.00648%,106.43,12416,0.00648,2
20110309_lr_RL_1.2,119.73 kWh,14850,0.00845%,119.73,14850,0.00845,3
20110322_lr_RL_1.2,149.77 kWh,22441,0.00790%,149.77,22441,0.0079,4
20110325_lr_RL_1.2,128.96 kWh,17475,0.00750%,128.96,17475,0.0075,5
20110403_lr_RL_1.2,195.97 kWh,27033,0.00770%,195.97,27033,0.0077,6
20110409_lr_RL_1.2,154.60 kWh,21087,0.00737%,154.6,21087,0.00737,7
20110411_lr_RL_1.2,151.25 kWh,21518,0.00786%,151.25,21518,0.00786,8
20110412_lr_RL_1.2,131.54 kWh,17699,0.00761%,131.54,17699,0.00761,9
300_lr_RL_1.2,119.78 kWh,15078,0.00799%,119.78,15078,0.00799,10
301_lr_RL_1.2,154.77 kWh,21449,0.00752%,154.77,21449,0.00752,11
302_lr_RL_1.2,106.92 kWh,12999,0.00667%,106.92,12999,0.00667,12
303_lr_RL_1.2,106.93 kWh,12807,0.00659%,106.93,12807,0.00659,13
304_lr_RL_1.2,195.86 kWh,27647,0.00778%,195.86,27647,0.00778,14
305_lr_RL_1.2,196.00 kWh,27188,0.00769%,196.0,27188,0.00769,15
306_lr_RL_1.2,141.93 kWh,17658,0.00703%,141.93,17658,0.00703,16
307_lr_RL_1.2,106.99 kWh,12921,0.00659%,106.99,12921,0.00659,17
308_lr_RL_1.2,152.01 kWh,21882,0.00800%,152.01,21882,0.008,18
309_lr_RL_1.2,154.38 kWh,21704,0.00753%,154.38,21704,0.00753,19
310_lr_RL_1.2,131.83 kWh,18288,0.00780%,131.83,18288,0.0078,20
311_lr_RL_1.2,128.72 kWh,17276,0.00725%,128.72,17276,0.00725,21
312_lr_RL_1.2,107.48 kWh,13241,0.00693%,107.48,13241,0.00693,22
313_lr_RL_1.2,152.37 kWh,22033,0.00809%,152.37,22033,0.00809,23
314_lr_RL_1.2,130.54 kWh,17122,0.00734%,130.54,17122,0.00734,24
315_lr_RL_1.2,151.77 kWh,21677,0.00781%,151.77,21677,0.00781,25
316_lr_RL_1.2,154.43 kWh,21700,0.00766%,154.43,21700,0.00766,26
317_lr_RL_1.2,196.67 kWh,28034,0.00785%,196.67,28034,0.00785,27
318_lr_RL_1.2,142.55 kWh,18330,0.00722%,142.55,18330,0.00722,28
319_lr_RL_1.2,196.23 kWh,27371,0.00778%,196.23,27371,0.00778,29
320_lr_RL_1.2,142.85 kWh,17819,0.00710%,142.85,17819,0.0071,30
321_lr_RL_1.2,107.00 kWh,13002,0.00664%,107.0,13002,0.00664,31
