alpha,gamma,energy_avg,energy_stdev,migrations_avg,Migrations,migrations_stdev,SLA_min,SLA_max,SLA_avg,SLA_stdev
0.2,0.2,141.9396774,28.01458388,17013.80645,17013,4080.664475,0.00575,0.00844,0.007090645,0.00064625
0.2,0.4,141.31,28.02575102,16319.12903,16319,3858.690346,0.0059,0.00768,0.006882903,0.000500188
0.2,0.6,141.3858065,28.04359698,16456.51613,16456,3930.774418,0.00587,0.00784,0.006925806,0.000536282
0.2,0.8,141.3222581,28.0183499,16312.80645,16312,3908.784921,0.00575,0.0078,0.006872581,0.000546052
0.2,0.9,141.3577419,27.92243491,16452.22581,16452,3868.093318,0.00573,0.00774,0.006927742,0.000499418
0.2,1,141.3906452,27.98365236,16503.58065,16503,3848.474155,0.00577,0.00778,0.006963548,0.000507382
0.4,0.2,141.2212903,27.98338742,16267.32258,16267,3899.295008,0.0057,0.00783,0.00683871,0.000537716
0.4,0.4,141.226129,27.9120645,16357.12903,16357,3892.388168,0.00532,0.0077,0.00687129,0.000574188
0.4,0.6,141.3983871,28.02462406,16450.45161,16450,3884.600596,0.0058,0.00798,0.00693871,0.000519928
0.4,0.8,141.3854839,28.01122785,16431.96774,16431,3964.100381,0.00575,0.00769,0.00690871,0.000540566
0.4,0.9,141.4312903,28.09757211,16477.93548,16477,3948.022027,0.00568,0.00775,0.00688129,0.000553539
0.4,1,141.4751613,28.12821725,16477.6129,16477,4032.207846,0.00549,0.00771,0.006907419,0.000573922
0.6,0.2,141.2041935,28.00146934,16344.93548,16344,3942.233199,0.00588,0.0078,0.006875484,0.000543255
0.6,0.4,141.2696774,28.0018994,16342.45161,16342,3901.127853,0.00566,0.00771,0.006860645,0.000510601
0.6,0.6,141.3241935,28.04383316,16434.58065,16434,3851.045449,0.00587,0.00794,0.006923871,0.000496432
0.6,0.8,141.4816129,27.99831413,16395.35484,16395,3926.912456,0.00572,0.00756,0.00690129,0.000479686
0.6,0.9,141.5770968,28.10926872,16571.48387,16571,3998.68645,0.00561,0.00787,0.006938387,0.000551471
0.6,1,141.6058065,28.1083814,16663.77419,16663,3960.919563,0.0059,0.00792,0.006978387,0.000525072
0.8,0.2,141.2783871,28.04013553,16343.64516,16343,3842.805855,0.00545,0.00792,0.00689,0.000531401
0.8,0.4,141.2970968,28.10262315,16284.25806,16284,3895.288342,0.00573,0.00758,0.006874516,0.000485571
0.8,0.6,141.393871,27.93718402,16409.87097,16409,3858.516379,0.00568,0.00766,0.006890968,0.000484165
0.8,0.8,141.5306452,28.06038238,16582.67742,16582,3939.70913,0.00582,0.00783,0.006937419,0.000503812
0.8,0.9,141.5732258,28.21013002,16613.58065,16613,4002.741259,0.00597,0.00776,0.006943548,0.000523097
0.8,1,141.8380645,28.11783484,16803.32258,16803,4084.260687,0.00569,0.00775,0.00702129,0.000538713
0.9,0.2,141.2029032,28.04790618,16305.70968,16305,3981.102621,0.00586,0.00787,0.006880968,0.000585106
0.9,0.4,141.2670968,28.03117755,16341.45161,16341,3981.67401,0.00564,0.0077,0.006864194,0.000623938
0.9,0.6,141.5109677,28.05232199,16565.51613,16565,3976.8601,0.00552,0.00764,0.006928387,0.000583479
0.9,0.8,141.5354839,28.02979758,16584.51613,16584,3961.758758,0.00602,0.00772,0.006950645,0.000508907
0.9,0.9,141.6135484,28.10381511,16660.83871,16660,3954.949078,0.00594,0.00787,0.006944839,0.00047945
0.9,1,141.9087097,28.23529585,16890.74194,16890,4100.192215,0.00602,0.0082,0.007072903,0.000547499
1,0.2,141.3019355,28.0527948,16312.41935,16312,3921.484462,0.00571,0.00755,0.006855484,0.000486449
1,0.4,141.3358065,28.0945915,16467.51613,16467,3933.453952,0.00592,0.00757,0.006904839,0.000479999
1,0.6,141.5474194,28.05780723,16521.35484,16521,3862.388376,0.00583,0.00784,0.006962903,0.000487293
1,0.8,141.6216129,28.05817541,16583.96774,16583,3937.095389,0.00579,0.00794,0.006992258,0.00052831
1,0.9,141.8245161,28.10845695,16796.80645,16796,4039.084702,0.00592,0.00783,0.007033871,0.000529683
1,1,141.9712903,28.0611248,16971.93548,16971,3973.374535,0.00601,0.0078,0.007067419,0.000484727
,,141.2029032,,16267.32258,,,,,,
